NUMERO,DESCRICAO,FAMILIA,PRECO1,PRECOVENDA,STOCK,MARGEM
230,FRALDA TENA SLIP P/ADULTO MAXI 3X24 UN,PRODUTOS DE HIGIENE LIMPEZA,"5.094,33",5.495,"28,00","7,87%"

231,DESOD. ROLL-ON SANEX NAT. PR. NOR (R_ 674) 6X50 ML,cosmeticos,"885,86",956,"17,00","7,92%"

232,NATA PARMALAT P/BATER 0% LACTOSE 27X200 ML,Alimentos,"1.981,50",2.139,"5,00","7,95%"

233,NATA PARMALAT CULIN_RIA 0% LACTOSE 27X200 ML,Alimentos,"1.981,50",2.139,"3,00","7,95%"

234,DESOD. ROLL-ON SANEX DERM 7 EM1 (RF_ 975)  6X50 ML,cosmeticos,"755,64",816,"1,50","7,99%"

235,DENT. COLGATE CAVITY PROT. 12X100 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.188,00",1.283,"16,50","8,00%"

236,VINHO LUSITANO ALENTEJO TINTO 6X75CL,alcoolicas,"4.121,61",4.452,"24,83","8,02%"

237,VINHO CHILENO LOS BOLBOS CABERNET SUAV. T_ 6X75 CL,alcoolicas,"4.803,50",5.190,"2,00","8,05%"

238,VODKA POLARA 12X970 ML,alcoolicas,"6.146,18",6.641,"0,50","8,05%"

239,MARGARINA ARMANTI 24X250 GR,Alimentos,"1.146,41",1.239,"65,13","8,08%"

240,AMENDOIM C/SAL PITTJES LTA 24X200 GR,Alimentos,"3.004,45",3.248,"62,00","8,11%"

241,PANO P_ ALIPIO (50X50) 12X1 UN,OUTROS/DIVERSOS,"635,00",687,"8,00","8,19%"

242,DROPS MASTER CHEF MENTOL 1X1 KG,CONFEITARIAS,"449,13",486,"1,26","8,21%"

243,VINHO ESP. ALIAN_A DAN_BIO M/SECO 6X75 CL,alcoolicas,"4.728,05",5.121,"4,00","8,31%"

244,VINHO TESOURO DE PIAS TINTO BAG IN BOX 1X5 LT,alcoolicas,"1.098,47",1.190,"523,00","8,33%"

245,CALDO KNORR CULIN_RIA 10X16 CUB,Alimentos,"978,23",1.060,"0,50","8,36%"

246,LEITE LIQ. M/GORDO VIDA 6X200 ML,Alimentos,"199,26",216,"12,00","8,40%"

247,AZEITE CAMPON_S GARRAF_O PET. 1X5 LT,Alimentos,"1.743,41",1.890,"377,00","8,41%"

248,DENT. COLGATE ANTI-CARIE 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.218,52",1.321,"2,75","8,41%"

249,"DET. P_ SKIP ACTIVE CLEAN 80 Dos 1X4,8 KG",PRODUTOS DE HIGIENE LIMPEZA,"1.835,27",1.990,"2,00","8,43%"

250,DENT. COLGATE ANTI-TARTARO BRANQ. 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.218,28",1.321,"111,25","8,43%"

251,LEITE BATIDO ARMANTI BAUNILHA 20X480 ML,Alimentos,"2.064,13",2.239,"85,50","8,47%"

252,CH_ LIPTON CAMOMILA 30X10 UN,Alimentos,"1.574,65",1.709,"2,00","8,53%"

253,AZEITONA VERDE TOP 12X370 GR,Alimentos,"1.005,22",1.091,"0,25","8,53%"

254,LEITE BATIDO ARMANTI BANANA 20X480 ML,Alimentos,"2.062,72",2.239,"82,95","8,55%"

255,FEIJ_O SECO CATARINO COMPRIDO 1X5 KG,Alimentos,"763,67",829,"24,08","8,55%"

256,DET. P_ SKIP ACTIVE CLEAN 12 Dos 6X720 GR,PRODUTOS DE HIGIENE LIMPEZA,"2.153,60",2.338,"0,84","8,56%"

257,VINHO TERRAS D'ERVIDEIRA ALENTEJO TINTO 6X75CL,alcoolicas,"3.795,04",4.121,"43,00","8,59%"

258,CERVEJA SUPER BOCK GFA 6X1 LT,alcoolicas,"1.348,80",1.465,"253,16","8,62%"

259,"DET. P_ SKIP ACTIVE CLEAN 28 Dos 4X1,68 KG",PRODUTOS DE HIGIENE LIMPEZA,"2.752,60",2.990,"3,00","8,62%"

260,VINHO DON TEGO TINTO PCT 12X1LT,alcoolicas,"1.948,59",2.117,"27,59","8,64%"

261,VINHO DO PORTO D. JOS_ RUBY 6X75 CL,alcoolicas,"5.096,58",5.538,"0,17","8,66%"

262,LEITE LIQ. M/GORDO MATINAL MIMOSA 6X1 LT,Alimentos,"630,34",685,"4,00","8,67%"

263,VINHO FOGO BRANCO SODADE 12X375 ML,alcoolicas,"3.696,08",4.017,"1,08","8,68%"

264,FERMENTO EM P_ TREVI FRASCO 10X125 GR,Alimentos,"875,93",952,"3,00","8,68%"

265,MAYONAISE CALVE TOP DOWN 8X434 GR,Alimentos,"1.356,05",1.474,"5,24","8,70%"

266,"TOMATE, POLPA TOP 6X1 LT",Alimentos,"699,85",761,"13,00","8,74%"

267,VINHO PALMA DOC TINTO 6X75 CL,alcoolicas,"2.769,48",3.012,"4,00","8,76%"

268,FEIJ_O PRETO TREVI LATA 12X850 GR,Alimentos,"1.054,47",1.147,"3,00","8,78%"

269,DET. L. TUDO BRILHANTE AMONIACO 9X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"811,16",883,"47,34","8,86%"

270,LEITE LIQ. M/GORDO MIMOSA 6X1 LT,Alimentos,"491,42",535,"255,84","8,87%"

271,FEIJ_O MANTEIGA TREVI LATA 12X820 GR,Alimentos,"1.053,27",1.147,"8,75","8,90%"

272,FEIJ_O ERVILHA c/CEN. NOLIKO 12X850 ML,Alimentos,"1.736,47",1.891,"66,75","8,90%"

273,APERIT. BAT. FRITA CHURR. SUPER DOURADA 12X40 GR,Alimentos,"603,91",658,"1,67","8,96%"

274,"VINHO PORCA DA MUR_A DOURO TINTO 12X37,5 CL",alcoolicas,"4.158,29",4.535,"1,00","9,06%"

275,VINHO ESP. DUC PARIS 6X75 CL,alcoolicas,"2.108,87",2.300,"4,01","9,06%"

276,CUSCUZEIRA DE ALUM. (R-43 DM 18 CM) 6X1UN,OUTROS/DIVERSOS,"5.683,62",6.200,"5,46","9,09%"

277,"TOMATE, POLPA C/CEBOLA E ALHO TREVI 12X0,5 LT",Alimentos,"923,56",1.008,"1,00","9,14%"

278,IOGURTE FRUTA PMI MACEDONIA 24X125 GR,Alimentos,"636,56",695,"429,96","9,18%"

279,IOGURTE FRUTA PMI BANANA 24X125 GR,Alimentos,"636,54",695,"583,01","9,18%"

280,IOGURTE FRUTA PMI MORANGO 24X125 GR,Alimentos,"636,50",695,"433,33","9,19%"

281,IOGURTE FRUTA PMI C_CO 24X125 GR,Alimentos,"636,49",695,"286,96","9,19%"

282,IOGURTE FRUTA PMI MORANGO/BANANA 24X125 GR,Alimentos,"636,46",695,"169,17","9,20%"

283,APERIT. BAT. FRITA CHOUR. SUPER DOURADA 12X40 GR,Alimentos,"602,56",658,"2,00","9,20%"

284,BEBIDA CEREIAS ( C/CAFE ) AMANHECER 6X200GR,Alimentos,"1.373,37",1.500,"1,00","9,22%"

285,CHOURI_O CARNE V_CUO SINTRA 1X1 KG,Alimentos,"386,37",422,"0,20","9,22%"

286,CHOURI_O CARNE V_CUO ANJOS SOEIRO 1X1 KG,Alimentos,"386,29",422,"812,61","9,24%"

287,TEMPERO BOA MESA 12X1 LT,Alimentos,"1.747,35",1.909,"173,00","9,25%"

288,VINHO GAT_O ROS_  6X75 CL,alcoolicas,"2.527,10",2.761,"8,00","9,26%"

289,CERVEJA SUPER BOCK LATA 24X33 CL,alcoolicas,"1.866,18",2.039,"4,00","9,26%"

290,IOGURTE KIJU SABOR BANANA 24X125 GR,Alimentos,"608,52",665,"1,50","9,28%"

291,GEL BANHO SUPREME DUCHE AMALFI 16X750 ML,cosmeticos,"2.019,83",2.208,"4,88","9,32%"

292,IOGURTE KIJU SABOR FRUTOS TROPICAIS 24X125 GR,Alimentos,"608,32",665,"186,91","9,32%"

293,VINHO P_ROLA DOURO BRANCO 6X75 CL,alcoolicas,"2.218,02",2.425,"13,49","9,33%"

294,VINHO MONTE VELHO TINTO 6X75 CL,alcoolicas,"3.841,44",4.200,"63,00","9,33%"

295,IOGURTE KIJU SABOR MORANGO 24X125 GR,Alimentos,"608,20",665,"146,12","9,34%"

296,IOGURTE KIJU SABOR MANGA 24X125 GR,Alimentos,"608,17",665,"250,21","9,34%"

297,FEIJ_O ERVILHA TREVI LATA 12X820 GR,Alimentos,"1.093,50",1.196,"12,92","9,37%"

298,AMAC. ROUPA CONFORT  AZUL 4X4 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.334,52",1.460,"0,50","9,40%"

299,VINHO CRUZEIRO ARCOS BRANCO REG. 6X75 CL,alcoolicas,"1.994,37",2.182,"23,16","9,41%"

300,IOGURTE KIJU SABOR PESSEGO 24X125 GR,Alimentos,"607,80",665,"194,83","9,41%"

301,IOGURTE KIJU SABOR ANANAS 24X125 GR,Alimentos,"607,74",665,"111,71","9,42%"

302,"CEREAL, NESTUM C/MEL 14X300 GR",Alimentos,"1.551,69",1.698,"122,80","9,43%"

303,FEIJ_O BRANCO TREVI LATA 12X820 GR,Alimentos,"1.047,87",1.147,"8,00","9,46%"

304,APERIT. BAT. FRITA ONDULA. SUPER DOURADA  12X40 GR,Alimentos,"601,10",658,"6,66","9,47%"

305,CAIXA PLAST. CONJ. 3 SAVIL R-41 RECTANGULAR 12X1UN,OUTROS/DIVERSOS,"2.601,35",2.848,"5,50","9,48%"

306,VINHO LANCERS BRANCO 6X75CL,alcoolicas,"3.045,69",3.335,"3,16","9,50%"

307,VINHO DUQUE DE VISEU TINTO 6X75 CL,alcoolicas,"4.564,67",4.999,"16,00","9,52%"

308,FEIJ_O VERMELHO TREVI LATA 12X820 GR,Alimentos,"1.047,33",1.147,"2,00","9,52%"

309,VINHO MONTADO TINTO 6X75 CL,alcoolicas,"3.330,03",3.647,"2,00","9,52%"

310,AZEITE CAMPON_S LTA 20X500 ML,Alimentos,"4.226,49",4.629,"11,00","9,52%"

311,QUEIJO FLAM. MIMOSA 1/2 BOLA 1X1 KG,Alimentos,"729,48",799,"1,73","9,53%"

312,APERIT. BAT. FRITA PRESUNTO SUPER DOURADA 12X40GR,Alimentos,"600,71",658,"3,58","9,54%"

313,VINHO ARGENTINO ROBLE CABERNET SUAV. TINTO 6X75 CL,alcoolicas,"5.254,11",5.756,"3,00","9,55%"

314,VINHO FOGO BRANCO SODADE 12X75 CL,alcoolicas,"6.286,14",6.887,"0,17","9,56%"

315,"CEREAL, FLOCOS CENTEIO INTEGRAL CIMARROM 12X400 GR",Alimentos,"943,61",1.034,"13,84","9,58%"

316,VINHO FOGO TINTO SODADE 12X375 ML,alcoolicas,"3.663,64",4.017,"0,34","9,65%"

317,AMAC. ROUPA CONFORT PURE 4X4 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.331,46",1.460,"0,25","9,65%"

318,VINHO COMUM DOM VINHO TINTO 6X1 LT,alcoolicas,"1.292,13",1.417,"25,66","9,66%"

319,ESFREGONA ALGOD_O 200 GR S/CABO MONTSO 1X24 UN,OUTROS/DIVERSOS,"1.695,76",1.860,"0,88","9,69%"

320,PAPEL HIG. RENOVA OL_ 32X2 ROL,PRODUTOS DE HIGIENE LIMPEZA,"887,96",974,"279,98","9,69%"

321,TEMPERO BOA MESA 24X500 ML,Alimentos,"2.178,01",2.390,"111,00","9,73%"

322,MARGARINA ARMANTI  6X900 GR,Alimentos,"882,99",969,"291,17","9,74%"

323,BETERRABA NOLIKO FRASCO 12X720ML,Alimentos,"1.493,01",1.639,"80,42","9,78%"

324,CH_ LIPTON MA__/CANELA 12X20 UN,Alimentos,"1.354,48",1.487,"4,25","9,78%"

325,APERIT. BAT. FRITA CHOUR. SUPER DOURADA 16X150 GR,Alimentos,"2.233,17",2.452,"5,00","9,80%"

326,VINHO FRISANTE BRANCO PLEXUS 6X75 CL,alcoolicas,"2.057,99",2.260,"40,83","9,82%"

327,AMB. SPRAY RUISENOR INFANTIL 12X300 ML,OUTROS/DIVERSOS,"1.206,77",1.326,"0,50","9,88%"

328,ANAN_S EM RODELAS TREVI 12X820 GR,Alimentos,"1.664,99",1.830,"4,84","9,91%"

329,DET. GEL CIF ACTIVO c/LIXIVIA 12X75 CL,OUTROS/DIVERSOS,"1.839,49",2.022,"13,50","9,92%"

330,AZEITE OLIVEIRA DA SERRA LTA 24X200 ML,Alimentos,"2.454,89",2.699,"15,00","9,94%"

331,CHUPETA DORI YOUG. 100 SABOR MOR. (R_ 592) 1X50UN,CONFEITARIAS,"189,16",208,"219,50","9,96%"

332,CERVEJA SUPER BOCK s/ALCOOL BC_ 24X33 CL,alcoolicas,"1.601,47",1.761,"36,46","9,96%"

333,MARGARINA ARMANTI 1X10 KG,Alimentos,"1.273,14",1.400,"1.307,00","9,96%"

334,APERIT. MANDIOCA FRITA VEGE CHIP 10X70 GR,Alimentos,"1.375,87",1.513,"6,00","9,97%"

335,VINHO VILA PALMA DOC COLH. SELEC. TINTO 6X75 CL,alcoolicas,"4.470,47",4.917,"5,00","9,99%"

336,"AZEITE CAMPON_S VIRGEM EXTRA 0,5_ GFA. 24X250 ML",Alimentos,"3.699,36",4.069,"15,75","9,99%"

337,OLEO BEBE JOHNSON'S 12X50ML,cosmeticos,"939,13",1.033,"15,00","10,00%"

338,CHOC. SCHOGETTEN DIVERSOS 12X100 GR,CONFEITARIAS,"1.619,99",1.782,"140,16","10,00%"

339,BATATINHA SINTETICAS 1X5 KG,Alimentos,"5.145,23",5.660,"0,16","10,00%"

340,CHOC. FIN CARR_ 12X100 GR,CONFEITARIAS,"1.619,87",1.782,"49,33","10,01%"

341,"VINHO DONA ERMELINDA TINTO 12X37,5 CL",alcoolicas,"4.321,47",4.754,"1,00","10,01%"

342,CAIXA PLAST. CONJ. 3 SAVIL R-100 REDONDO 12X1UN,OUTROS/DIVERSOS,"2.588,86",2.848,"6,00","10,01%"

343,VINHO COMUM DOM VINHO BRANCO 6X1 LT,alcoolicas,"1.288,00",1.417,"7,00","10,02%"

344,CHOC. MARS 24X51 GR,CONFEITARIAS,"1.536,96",1.691,"2,00","10,02%"

345,ANAN_S RODELAS TOP LATA 12X1 KG,Alimentos,"1.864,16",2.051,"22,17","10,02%"

346,DROPS DORI RECHEADA MEL (R_ 668) 1X600GR,CONFEITARIAS,"157,19",173,"3,00","10,06%"

347,"MARGARINA ARMANTI  2X4,5 KG",Alimentos,"1.316,52",1.449,"160,00","10,06%"

348,VINHO COMUM BACUS TINTO 2X5 LT,alcoolicas,"1.455,38",1.602,"161,00","10,07%"

349,APERIT. TELHA DE QUINOA/QUEIJO 10X70 GR,Alimentos,"1.192,82",1.313,"12,50","10,08%"

350,CREOLINA CREOLAX 12X1 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.418,08",1.561,"1,67","10,08%"

351,AZEITE SERRATA 1_ LTA 1X5 LT,Alimentos,"1.806,83",1.989,"256,00","10,08%"

352,MOLHO TEMPERO P/FRANGO TREVI 12X200 GR,Alimentos,"1.054,62",1.161,"0,25","10,09%"

353,VINHO COMUM BACUS BRANCO 2X5 LT,alcoolicas,"1.682,05",1.852,"62,00","10,10%"

354,BACON PED. V_CUO SINTRA 1X1 KG,Alimentos,"789,24",869,"18,85","10,11%"

355,MAYONAISE ARMANTI BISNAGA 24X170 ML,Alimentos,"1.420,42",1.564,"826,30","10,11%"

356,BOL. TIFFANY WAFERS CRUNCH CHOC. 24X76 GR,Alimentos,"1.246,59",1.373,"0,25","10,14%"

357,SALSICHAS FRICARNES LATA 24X8 UN,Alimentos,"1.286,44",1.417,"38,58","10,15%"

358,DET. HARPIC GEL/LIXIVIA ORIGINAL 12X750 ML,OUTROS/DIVERSOS,"2.395,83",2.639,"11,92","10,15%"

359,VINHO DONA ERMELINDA F. RES. TINTO 6X75 CL,alcoolicas,"5.713,99",6.294,"0,50","10,15%"

360,QUINOA BRANCA EM GR_O 100% 12X400 GR,Alimentos,"2.450,23",2.699,"11,33","10,15%"

361,"DET. P_ SKIP NATURAL 40 Dos 4X2,4 KG",PRODUTOS DE HIGIENE LIMPEZA,"2.869,55",3.161,"5,50","10,16%"

362,MIGAS DE PALOCO CUVETE 10X400 GR,Alimentos,"2.967,47",3.269,"1,00","10,16%"

363,SUMO MAAZA GOIABA PCT. 12X1 LT,n_alcool,"1.538,63",1.695,"0,16","10,16%"

364,VINHO FLOR DE TROIA TINTO 6X75 CL,alcoolicas,"2.442,65",2.691,"3,00","10,17%"

365,CERVEJA SUPER BOCK s/ALCOOL PRETA 24X33 CL,alcoolicas,"1.598,44",1.761,"3,50","10,17%"

366,AZEITE CAMPON_S LTA 40X200 ML,Alimentos,"4.119,85",4.539,"33,00","10,17%"

367,VERMUTE CINZANO BRANCO 12X1 LT,alcoolicas,"9.840,98",10.843,"1,50","10,18%"

368,MOUSSE CHOC./LEITE ALSA 7 POR_OES 10X150 GR,Alimentos,"1.419,34",1.564,"3,00","10,19%"

369,SOPA KNORR CANJA GALINHA 20X68 GR,Alimentos,"1.744,01",1.922,"9,40","10,21%"

370,CHUPETA DORI YOGURTE 100 SAB. MOR.(R_ 934) 1X525GR,CONFEITARIAS,"161,51",178,"2,00","10,21%"

371,DROPS TIFFANY ( TOFFEE ) MANTEIGA 1X700 GR,CONFEITARIAS,"370,19",408,"459,00","10,21%"

372,MANTEIGA MIMOSA c/SAL 40X125 GR,Alimentos,"3.927,76",4.329,"5,00","10,22%"

373,MAYONAISE ARMANTI FRASCO 12X500 ML,Alimentos,"1.418,99",1.564,"651,42","10,22%"

374,DROPS DORI FRUTSY FRUT. SORTIDAS (R_ 296) 30X150GR,CONFEITARIAS,"1.407,95",1.552,"3,03","10,23%"

375,DROPS TIFFANY ( TOFFEE ) CREME FUDGE 1X700 GR,CONFEITARIAS,"370,11",408,"163,00","10,24%"

376,VINHO ADEGA GRANDE BAG IN BOX TINTO 1X5 LT,alcoolicas,"938,81",1.035,"2,00","10,25%"

377,VINHO PORCA DA MUR_A DOURO BRANCO 6X75 CL,alcoolicas,"3.256,35",3.590,"0,16","10,25%"

378,T_MARA C/CARO_O CONFEIT. GANCEDO 1X1 KG,CONFEITARIAS,"351,02",387,"71,00","10,25%"

379,FRALDA ONLEM ADULTO LARGE YI SMALL 6X7 FR,PRODUTOS DE HIGIENE LIMPEZA,"1.904,68",2.100,"19,00","10,25%"

380,VINHO QUATRO VENTOS TINTO 6X75 CL,alcoolicas,"2.937,67",3.239,"7,00","10,26%"

381,VINHO DO PAI RESERVA TINTO 6X75 CL,alcoolicas,"4.281,59",4.721,"80,50","10,26%"

382,FRALDA JOYFUL TWIN NEW BORN 2/5KG 5X44 FR,PRODUTOS DE HIGIENE LIMPEZA,"3.252,43",3.587,"11,00","10,29%"

383,DROPS MASTER CHEF PEITORAIS 1X1 KG,CONFEITARIAS,"461,46",509,"9,00","10,30%"

384,MANTEIGA MIMOSA c/SAL 20X250 GR,Alimentos,"3.531,04",3.895,"42,85","10,31%"

385,PAPEL HIG. RENOVA KISS 1X24 ROL,PRODUTOS DE HIGIENE LIMPEZA,"540,26",596,"6,00","10,32%"

386,DET. HARPIC EUCALIPTO MENTA 12X750 ML,PRODUTOS DE HIGIENE LIMPEZA,"2.392,10",2.639,"24,00","10,32%"

387,AZEITONA PRETA CAMPON_S FR. OXIDADA 12X350 GR,Alimentos,"1.737,55",1.917,"2,25","10,33%"

388,AZEITONA VERDE CAMPON_S FRASCO 12X350 GR,Alimentos,"1.809,14",1.996,"68,00","10,33%"

389,MILHO VERDE TREVI LTA 24X150 GR,Alimentos,"1.086,71",1.199,"0,58","10,33%"

390,CHUPETA DORI FRUTSY SABOR FRAMB. (R_ 660) 1X50 UN,CONFEITARIAS,"188,47",208,"389,00","10,36%"

391,CH_ LIPTON CAMOMILA/ERVA PRINCIPE 12X20 UN,Alimentos,"1.347,37",1.487,"8,75","10,36%"

392,MARGARINA ARMANTI 6X450 GR,Alimentos,"484,69",535,"404,50","10,38%"

393,AMAC. ROUPA YPE CARINHO FR 6X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.511,91",1.669,"12,00","10,39%"

394,DOCE ARMANTI MARMELO FRASCO 12X380 GR,Alimentos,"1.349,60",1.490,"18,50","10,40%"

395,NATA PARMALAT CARBONARA 27X200 ML,Alimentos,"1.937,33",2.139,"4,00","10,41%"

396,NATA PARMALAT C/CARIL 27X200 ML,Alimentos,"1.937,30",2.139,"1,00","10,41%"

397,NATA PARMALAT C/COGUMELO 27X200 ML,Alimentos,"1.937,28",2.139,"8,00","10,41%"

398,LIMPADOR VIDRO C/CABO ESTENSIVEL 12X1 UN,OUTROS/DIVERSOS,"2.390,00",2.639,"2,33","10,42%"

399,LEITE LIQ. M/GORDO PARMALAT 6X1 LT,Alimentos,"375,82",415,"1,17","10,43%"

400,VINHO PORCA DA MUR_A DOURO TINTO 6X75 CL,alcoolicas,"3.495,49",3.860,"102,83","10,43%"

401,FIAMBRE  PERU BARRA A. SOEIROS 1X1 KG,Alimentos,"598,43",661,"21,70","10,46%"

402,NATA PARMALAT 3 QUEIJOS 27X200 ML,Alimentos,"1.936,38",2.139,"3,00","10,46%"

403,SUMO MOCITOS MANGA PCT 24X200 ML,n_alcool,"687,77",760,"0,87","10,50%"

404,IOGURTE LIQ. PASCUAL BANANA 6X750 ML,Alimentos,"1.175,42",1.299,"0,34","10,51%"

405,APERIT. BAT. FRITA ONDULA. SUPER DOURADA 16X150 GR,Alimentos,"2.218,36",2.452,"4,92","10,53%"

406,FEIJ_O ERVILHA TREVI LATA 12X420 GR,Alimentos,"688,44",761,"0,16","10,54%"

407,COGUMELOS INTEIROS TREVI 12X780 GR,Alimentos,"2.677,61",2.960,"11,83","10,55%"

408,VINHO DOURO LELLO TINTO 6X75 CL,alcoolicas,"3.223,48",3.564,"10,50","10,56%"

409,PASTA F_GADO PORCO GROOT 24X210 GR,Alimentos,"1.965,27",2.173,"74,67","10,57%"

410,BOL. MARIA AMANHECER PACK 4 10X800 GR,Alimentos,"1.281,51",1.417,"0,50","10,57%"

411,BEBIDA DE SOJA VIVE SOY 6X1 LT,Alimentos,"1.045,44",1.156,"78,66","10,58%"

412,VINHO GAT_O VERDE BRANCO 6X75 CL,alcoolicas,"2.779,97",3.074,"0,17","10,58%"

413,ELIXIR LISTERINE ZERO 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.890,89",2.091,"3,00","10,58%"

414,DROPS TIFFANY ( TOFFEE ) CREME 1X700 GR,CONFEITARIAS,"298,41",330,"401,00","10,59%"

415,ALMONDEGAS PORCO ASA 8X12 UN,Alimentos,"2.279,20",2.521,"14,00","10,61%"

416,DROPS TIFFANY ( TOFFEE ) LUXE 1X700 GR,CONFEITARIAS,"298,33",330,"418,00","10,62%"

417,BOL. TIFFANY WAFERS CRUNCH LARANJA 24X76 GR,Alimentos,"1.241,23",1.373,"0,49","10,62%"

418,VINHO CONVENTO DA VILA TINTO 6X75 CL,alcoolicas,"2.055,70",2.274,"3,50","10,62%"

419,AZEITONA PRETA CAMPONES S/CARO_O FRASCO 12X350 GR,Alimentos,"2.315,13",2.561,"7,50","10,62%"

420,SALADA FRUTA TREVI 12X840 GR,Alimentos,"2.212,96",2.448,"10,58","10,62%"

421,AZEITONA VERD. CAMPON_S RECH PIMENT. FR. 12X350 GR,Alimentos,"1.521,33",1.683,"27,08","10,63%"

422,DROPS TIFFANY ( TOFFEE ) LEITE KING 1X700 GR,CONFEITARIAS,"298,27",330,"917,00","10,64%"

423,ARROZ ARMANTI SACO AZUL TAILANDIA 5% 1X25 KG,Alimentos,"1.387,39",1.535,"67,03","10,64%"

424,BOL. TIFFANY WAFERS CRUNCH MORANGO 24X76 GR,Alimentos,"1.240,84",1.373,"1,00","10,65%"

425,IOGURTE LIQ. PASCUAL MORANGO 6X750 ML,Alimentos,"1.173,92",1.299,"0,17","10,65%"

426,DROPS DORI RECH. HORT. SABOR MENTA 30X150GR,CONFEITARIAS,"1.374,30",1.521,"1,13","10,67%"

427,HAMBURGER AVES ASA 1X1 KG,Alimentos,"486,11",538,"30,00","10,67%"

428,DROPS DORI TRINK FRUTOS SORTIDOS (135) 30X150GR,CONFEITARIAS,"1.374,27",1.521,"16,93","10,68%"

429,APERIT. BATATA FRITA PRESUNTO S. DOURADA 16X150GR,Alimentos,"2.207,00",2.443,"0,19","10,69%"

430,APERIT. BAT. FRITA HOT SPICY SUPER DOUR. 16X150 GR,Alimentos,"2.207,00",2.443,"3,00","10,69%"

431,AZEITE SERRATA VIRGEM EXTRA SELE__O GFA. 12X750 ML,Alimentos,"3.721,05",4.119,"13,08","10,69%"

432,VINHO ALENT. HERDADE DO PESO 2015 TINTO 6X75 CL,alcoolicas,"7.893,73",8.738,"14,00","10,70%"

433,LEN_O HIG. MENTA  RENOVA 6X10 UN,PRODUTOS DE HIGIENE LIMPEZA,"74,97",83,"328,00","10,71%"

434,DET. L. TUDO BRILHANTE CAM./ F. LARANJA 9X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"797,55",883,"19,00","10,71%"

435,DET. L. TUDO BRILHANTE FLORAL 9X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"797,55",883,"18,00","10,71%"

436,DET. L. TUDO BRILHANTE LIM_O 9X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"797,55",883,"20,00","10,71%"

437,DET. L. TUDO BRILHANTE PINHO 9X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"797,54",883,"18,89","10,72%"

438,ESSENCIA FOSTER CLARK_S MORANGO 12X28 ML,Alimentos,"419,90",465,"65,00","10,74%"

439,AZEITONA VERDE CAMPON_S S/CARO_. FRASCO 12X300 GR,Alimentos,"2.186,95",2.422,"6,75","10,75%"

440,PESSEGO EM CALDA MOCITOS LTA 24X425 GR,Alimentos,"1.817,50",2.013,"19,25","10,76%"

441,CREOLINA CREOLAX 12X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.071,69",1.187,"0,42","10,76%"

442,MILHO AMARELO P/CACHUPA SINH_ 20X500 GR,Alimentos,"548,93",608,"8,85","10,76%"

443,BOL. TIFFANY MARIA 24X100 GR,Alimentos,"1.048,18",1.161,"15,50","10,76%"

444,DET. HARPIC ANTICALC_RIO 12X750 ML,OUTROS/DIVERSOS,"2.382,45",2.639,"12,76","10,77%"

445,TORRESMO GANCEDO BALDE 1X2 KG,Alimentos,"1.239,42",1.373,"1.267,00","10,78%"

446,TEMPERO SUMO LIMA 100% CRISTAL 6X500 ML,Alimentos,"1.290,85",1.430,"12,67","10,78%"

447,ELIXIR LISTERINE MENTOL 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.887,48",2.091,"3,50","10,78%"

448,LEITE BATIDO INCOLAC CHOCOLATE 20X500 ML,Alimentos,"2.110,40",2.338,"14,05","10,78%"

449,TEMPERO ALIMENTAR GARCIA 12X1LT,Alimentos,"1.349,10",1.495,"588,17","10,81%"

450,ESCOVA DENTE PIERROT DURA 12X1 UN,PRODUTOS DE HIGIENE LIMPEZA,"608,14",674,"1,00","10,83%"

451,ELIXIR LISTERINE TOTAL CARE ZERO 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.886,67",2.091,"4,50","10,83%"

452,BOL. TIFFANY CREME CHOC. 24X84 GR,Alimentos,"678,50",752,"76,34","10,83%"

453,ESCOVA DENTE PIERROT MEDIA 12X1 UN,PRODUTOS DE HIGIENE LIMPEZA,"608,11",674,"60,00","10,84%"

